run_dir,method,epoch,round,train_loss,val_loss,phase,client_id,val_rmse,val_mae,is_best_round,best_round,personal_ft_best_epoch
final_fedavg_seed42,fedavg,9,9,,-2.870088398957453,post_agg_val,4.0,2.493035872777303,2.1293729543685918,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.8705253261901347,post_agg_val,5.0,2.4922304153442383,2.2495495875676474,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.6471839339722623,post_agg_val,6.0,4.144298712412517,4.004581769307454,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.892968716519944,post_agg_val,7.0,2.252679228782654,2.060499707857768,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.3610646963119506,post_agg_val,8.0,5.594769636789958,5.457512537638347,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-1.9551036845082823,post_agg_val,9.0,7.162798563639323,6.990972359975179,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.9802627803093227,post_agg_val,10.0,0.9361368616422018,0.8300787806510925,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.367795713911665,post_agg_val,11.0,5.5650315284729,5.498229185740153,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.818522244169001,post_agg_val,12.0,2.957611560821533,2.6828474203745523,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.933595221321862,post_agg_val,13.0,1.7804908752441406,1.5881197849909463,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.7791475047052434,post_agg_val,14.0,3.2783265908559165,2.6692744890848794,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.9902174341085868,post_agg_val,15.0,0.6882484555244446,0.5925098955631256,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.846402164232933,post_agg_val,16.0,2.722775379816691,2.288117448488871,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.90460307125884,post_agg_val,17.0,2.118377606074015,2.007278879483541,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.761820213428672,post_agg_val,18.0,3.393885294596354,3.112455129623413,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.6008009446405733,post_agg_val,19.0,4.41409158706665,4.073006312052409,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.048332947545347,post_agg_val,20.0,6.837326685587565,6.204496065775554,False,3.0,
final_fedavg_seed42,fedavg,10,10,-2.948150459940224,-2.7061491922265897,post_agg_val,,3.404075768293994,3.136699657917708,False,3.0,
final_fedavg_seed42,fedavg,10,10,,-2.786479535485119,post_agg_val,1.0,3.228591521581014,2.9608635902404785,False,3.0,
final_fedavg_seed42,fedavg,10,10,,-2.7852579866136824,post_agg_val,2.0,3.239666144053141,2.8185009956359863,False,3.0,
final_fedavg_seed42,fedavg,10,10,,-2.7989106761084663,post_agg_val,3.0,3.1332775751749677,2.9438416957855225,False,3.0,
final_fedavg_seed42,fedavg,10,10,,-2.884495272355921,post_agg_val,4.0,2.366543690363566,2.013999621073405,False,3.0,
final_fedavg_seed42,fedavg,10,10,,-2.882048020303,post_agg_val,5.0,2.394270976384481,2.161479910214742,False,3.0,
final_fedavg_seed42,fedavg,10,10,,-2.658993666392591,post_agg_val,6.0,4.086952129999797,3.937828143437704,False,3.0,
final_fedavg_seed42,fedavg,10,10,,-2.900846810036517,post_agg_val,7.0,2.1879826386769614,1.987837553024292,False,3.0,
